STATE,SYM_P1,SYM_P2,SYM_SEMICOLON,IDENTIFIER,OP_ASSGN,SYM_SB1,SYM_SB2,KEYWD_IF,SYM_B1,SYM_B2,KEYWD_ELSE,KEYWD_ELIF,KEYWD_FOR,KEYWD_IN,OP_COMMA,KEYWD_WHILE,KEYWD_DO,KEYWD_RETURN,KEYWD_BREAK,KEYWD_CONTINUE,KEYWD_SELECT,KEYWD_CASE,OP_TERN1,KEYWD_DEFAULT,KEYWD_DEF,OP_FUNC,KEYWD_INT,KEYWD_FLOAT,KEYWD_CHAR,KEYWD_BOOL,KEYWD_VOID,KEYWD_STRING,INT_LIT,FLOAT_LITERAL,CHAR_LIT,STR_LIT,KEYWD_TRUE,KEYWD_FALSE,OP_AR_add,OP_AR_sub,OP_AR_mul,OP_AR_div,OP_AR_mod,OP_REL_gt,OP_REL_ge,OP_REL_lt,OP_REL_le,OP_REL_eq,OP_REL_neq,OP_LOG_and,OP_LOG_or,OP_LOG_not,OP_BIT_and,OP_BIT_or,OP_BIT_ls,OP_BIT_rs,OP_BIT_xor,OP_ASSGN1,OP_ASSGN2,OP_ASSGN3,OP_ASSGN4,OP_ASSGN5,OP_ASSGN6,OP_ASSGN7,OP_ASSGN8,OP_INCR,OP_DECR,OP_BIT4,$
88,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,r55,r55,,,,r55,,,r55,,,,,r55,,,,,,,,r55,,,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,
90,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,s27,,,s103,,,,s104,s22,,,,s105,,,s106,s107,s108,s109,s110,s111,,,,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
92,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,s27,r5,,s103,,,,s104,s22,,,,s105,,,s106,s107,s108,s109,s110,s111,r5,,r5,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
94,r8,r8,,r8,,,,r8,r8,,,r8,r8,,,r8,r8,r8,r8,r8,r8,r8,,r8,,,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,r8,r8,r8,
95,r9,r9,,r9,,,,r9,r9,,,r9,r9,,,r9,r9,r9,r9,r9,r9,r9,,r9,,,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,r9,r9,r9,
96,r10,r10,,r10,,,,r10,r10,,,r10,r10,,,r10,r10,r10,r10,r10,r10,r10,,r10,,,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,r10,r10,r10,
97,r11,r11,,r11,,,,r11,r11,,,r11,r11,,,r11,r11,r11,r11,r11,r11,r11,,r11,,,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,r11,r11,r11,
98,r12,r12,,r12,,,,r12,r12,,,r12,r12,,,r12,r12,r12,r12,r12,r12,r12,,r12,,,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,r12,r12,r12,
99,r13,r13,,r13,,,,r13,r13,,,r13,r13,,,r13,r13,r13,r13,r13,r13,r13,,r13,,,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,r13,r13,r13,
100,r14,r14,,r14,,,,r14,r14,,,r14,r14,,,r14,r14,r14,r14,r14,r14,r14,,r14,,,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,r14,r14,r14,
101,r15,r15,,r15,,,,r15,r15,,,r15,r15,,,r15,r15,r15,r15,r15,r15,r15,,r15,,,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,r15,r15,r15,
102,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,r58,r58,,s115,s116,,,s46,,,,,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s118,s119,s120,s121,s122,s123,s124,s125,,,,
104,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,s131,,,s103,,,,s104,s22,,,,s105,,,s106,s107,s108,s109,s110,s111,,,,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
108,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
109,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,s134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,r35,,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35
113,,r4,,,,,,,,,,,,,,,,,,,,r4,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,r16,r16,,r16,,,,r16,r16,,,r16,r16,,,r16,r16,r16,r16,r16,r16,r16,,r16,,,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,r16,r16,r16,
115,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
116,s27,,,s25,,,r48,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
117,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
118,r93,,,r93,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,r93,r93,r93,r93,r93,r93,r93,r93,,,,,,,,,,,,,,,,,,,,,,,,,,r93,r93,r93,
119,r94,,,r94,,,,,r94,,,,,,,,,,,,,,,,,,,,,,,,r94,r94,r94,r94,r94,r94,r94,r94,,,,,,,,,,,,,,,,,,,,,,,,,,r94,r94,r94,
120,r95,,,r95,,,,,r95,,,,,,,,,,,,,,,,,,,,,,,,r95,r95,r95,r95,r95,r95,r95,r95,,,,,,,,,,,,,,,,,,,,,,,,,,r95,r95,r95,
121,r96,,,r96,,,,,r96,,,,,,,,,,,,,,,,,,,,,,,,r96,r96,r96,r96,r96,r96,r96,r96,,,,,,,,,,,,,,,,,,,,,,,,,,r96,r96,r96,
122,r97,,,r97,,,,,r97,,,,,,,,,,,,,,,,,,,,,,,,r97,r97,r97,r97,r97,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,r97,r97,r97,
123,r98,,,r98,,,,,r98,,,,,,,,,,,,,,,,,,,,,,,,r98,r98,r98,r98,r98,r98,r98,r98,,,,,,,,,,,,,,,,,,,,,,,,,,r98,r98,r98,
124,r99,,,r99,,,,,r99,,,,,,,,,,,,,,,,,,,,,,,,r99,r99,r99,r99,r99,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,r99,r99,r99,
